Sample ,Vp_60, Qp_60, Vs_60, Qs_60 ,R_2Hz_60 ,R_440Hz_60 ,Vp_40, Qp_40, Vs_40, Qs_40 ,R_2Hz_40 ,R_440Hz_40 ,Vp_26, Qp_26, Vs_26, Qs_26 ,R_2Hz_26 ,R_440Hz_26 ,Vp_20, Qp_20, Vs_20, Qs_20 ,R_2Hz_20 ,R_440Hz_20 ,Vp_15, Qp_15, Vs_15, Qs_15 ,R_2Hz_15,R_440Hz_15 ,Vp_8, Qp_8, Vs_8, Qs_8,R_2Hz_8 ,R_440Hz_8 ,
W162.0 ,4474,51.4,2621,29,32.9,32.11,4430,49.4,2593,27.4,32.1,31.33,4385,46,2556,25.6,30.28,29.58,4349,43,2530,24.9,28.93,28.29,4323,39.9,2501,23.9,27.76,27.18,4263,33.8,2455,21.4,25.95,25.43, 
W165.6 ,4332,44.5,2733,22,6.09,6.06,4303,39.2,2706,21.8,6.02,5.98,4286,33.6,2670,20.7,5.94,5.9,4268,29.9,2661,19.4,5.88,5.85,4232,28.8,2644,17.4,5.84,5.8,4180,25.3,2586,14.4,5.77,5.73, 
W165.6H ,4462,23.9,2621,13.4,6.65,6.64,4433,21.8,2588,13,6.64,6.62,4415,20.2,2556,11,6.54,6.53,4385,19,2529,10.3,6.5,6.49,4367,17.5,2514,14.1,6.41,6.4,4297,15.9,2466,8,6.28,6.27, 
W165.7 ,4096,23.9,2646,10,6.45,6.43,4051,21.6,2616,9.8,6.4,6.39,4007,19.9,2584,9.6,6.31,6.29,3976,19,2558,9.5,6.21,6.19,3949,17.9,2541,9.2,6.14,6.12,3896,16,2513,9,6.01,5.99, 
W165.7H ,4285,22.6,2670,11.7,6.37,6.36,4223,20.4,2637,11,6.37,6.35,4181,17.7,2595,10.7,6.32,6.32,4155,16.6,2547,10.2,6.27,6.26,4105,15.9,2507,9.9,6.2,6.18,4036,14,2479,8.6,6.08,6.06, 
W166.0 ,4440,30.9,2772,31.1,7.08,7.07,4408,28.3,2747,28.9,7.03,7.01,4378,26.5,2712,26.4,6.95,6.93,4358,25.1,2697,24.4,6.91,6.89,4336,23.2,2674,22.5,6.86,6.84,4261,20,2602,15.9,6.71,6.7, 
W166.0H ,4546,51.3,2787,28.9,8.14,8.13,4516,46.4,2758,27.5,8.05,8.04,4472,41.8,2733,25.1,7.89,7.88,4451,37.8,2712,23.3,7.79,7.77,4417,34.7,2690,20.4,7.69,7.67,4346,28,2614,14.7,7.51,7.5, 
W160.15H ,4503,48.7,2651,23.2,17.54,17.39,4449,41.6,2607,21.2,17.22,17.01,4386,35.8,2559,19.7,16.55,16.36,4363,31.6,2525,17.9,16.2,16.03,4308,27.5,2484,16.6,15.87,15.68,4188,21.4,2374,12.5,14.86,14.68, 
W160.15 ,4313,47.2,2646,20.4,16.21,16.03,4248,41.4,2601,17.7,15.73,15.56,4195,34.6,2555,14.9,15.02,14.81,4160,30.6,2518,13.4,14.61,14.42,4113,28,2486,12.2,14.23,14.04,4016,23.5,2400,9.4,13.37,13.19, 
W160.21H ,4456,43.7,2665,35.5,17.8,17.63,4399,39.4,2615,31.3,17.35,17.16,4336,34.4,2556,25,16.63,16.45,4306,30.7,2520,23.5,16.13,15.94,4248,26.9,2474,20.7,15.71,15.5,4139,22.1,2369,15.6,14.74,14.55, 
TS ,4602,56.5,2820,34.3,29.35,29.1,4541,47.2,2784,31.9,28.04,27.72,4479,43.9,2735,27.2,26.26,26,4440,39,2696,25.5,25.33,25.05,4392,34.3,2662,22.9,24.3,24.02,4280,26.1,2558,18.1,21.91,21.68, 
RB3 ,4295,50.9,2632,28.3,21.03,20.78,4225,41.5,2576,26.2,20.22,19.92,4132,32.3,2483,21.4,18.89,18.61,4076,28.8,2438,18.5,18.1,17.85,4002,25.4,2356,16.2,17.25,17.01,3846,18.4,2203,10.7,15.47,15.26, 
RES1 ,4575,49.3,2841,32.8,21.01,20.79,4521,45.3,2801,30.3,20.17,19.91,4435,38.6,2740,26.6,19.22,18.96,4391,35.7,2692,24.1,18.62,18.36,4334,29.1,2656,21.2,17.99,17.77,4196,21.3,2524,14.8,16.77,16.54, 
WATTSCLIFFE ,4116,29.9,2507,25.7,8.23,8.17,4050,27.1,2460,23.1,8.11,8.05,3982,23.7,2409,19.4,7.88,7.81,3949,22.4,2379,17,7.72,7.66,3907,20.5,2336,14.7,7.59,7.52,3814,16.9,2268,9.8,7.27,7.22, 
RS ,4503,52,2662,31.6,9.36,9.31,4441,43.9,2601,29.8,9.28,9.24,4367,36.5,2555,25.5,9.05,9.01,4330,31.6,2511,23.7,8.88,8.84,4270,26,2474,21.4,8.71,8.67,4118,18.6,2348,16.5,8.39,8.34, 
BEESTONE ,4123,47.9,2449,30.9,5.92,5.87,4072,42.1,2410,28.5,5.81,5.76,4019,34.9,2360,22,5.64,5.58,3976,29.9,2328,20.6,5.56,5.51,3930,27.1,2290,18.1,5.49,5.44,3802,21,2179,15.1,5.31,5.27, 
E4 ,4775,145.9,3085,43.5,7.88,7.87,4754,128.5,3075,39.4,7.83,7.82,4731,100.5,3058,35.3,7.75,7.74,4717,86.3,3047,34,7.7,7.68,4695,77.7,3035,32.3,7.64,7.63,4643,60.9,2996,28,7.55,7.54, 
COVERED ,4168,52.6,2476,20.4,5.07,5.04,4094,42.2,2424,17.6,4.99,4.97,3999,33.5,2368,15.1,4.89,4.86,3944,30.1,2316,14,4.81,4.78,3877,25.4,2273,12.3,4.74,4.7,3747,19.3,2137,10.3,4.61,4.58, 
YORK3 ,4644,69.3,2893,34.2,26.43,26.12,4585,57.4,2845,31.2,25.24,24.94,4522,49.3,2798,26.2,23.87,23.56,4480,42.7,2758,23.7,22.92,22.62,4428,38.9,2712,21.4,21.96,21.65,4323,28.2,2617,16.8,20.28,19.99, 
1DYK ,4364,58.7,2706,31.5,20.1,19.88,4313,48.1,2664,29.4,19.43,19.21,4242,39.4,2608,25.4,18.41,18.19,4201,34.2,2568,21.7,17.76,17.53,4138,29.2,2512,19.2,17.11,16.9,4007,21.8,2382,13.5,15.83,15.63, 
RB2 ,4299,42.6,2570,25.4,32.5,31.89,4209,36.6,2495,23,30.19,29.63,4121,31.7,2414,20.6,28.16,27.62,4074,28.6,2375,18.5,26.84,26.43,4023,25.1,2301,16.7,24.7,24.3,3768,16.9,2115,12.6,20.51,20.17, 
