Sample,Porosity,Perm,Illite,Kaolinite,Smectite,Chlorite,Quartz,K-Feldspar,P-Feldspar,Calcite,Clay,Feldspar
E3 ,13.4,297.27,0,0,0,0,81.96,4.27,0,0.36,0,4.27
E5 ,12.86,296.96,0,0,0,0,81.91,4.89,0,0.34,0,4.89
E6 ,12.75,234.59,0,0,0,0,80.57,6.14,0,0.54,0,6.14
E4 ,14.12,546.03,0,0,0,0,80.06,5.36,0,0.45,0,5.36
STONERAISE ,10.34,28.74,0,0,0,0,77.35,11.95,0,0.36,0,11.95
COVERED ,17.44,84.91,0,0,0,0,58.66,12.9,6.37,4.63,0,19.27
?1VSF ,18.81,3.36,0,0,0,0.29,74.47,1.05,0,5.39,0.29,1.05
BEESTONE ,18.88,114.21,0.54,0,0,0,64.03,13.92,2.6,0.04,0.54,16.52
PEAKMOOR ,13.74,6.27,1.23,0,0,0,64.18,7.17,7.8,5.88,1.23,14.97
DUKES ,14.39,3.03,1.23,0,0,0,62.09,12.43,0,9.87,1.23,12.43
CZ13 ,16.52,65.13,1.85,0,0,0,30.73,0,37.01,13.89,1.85,37.01
RES1 ,10.65,0.1,2.92,0,0,0,69.91,3.02,9.79,3.7,2.92,12.81
4SU ,9.22,0.02,0,0,0,3.08,61.6,3.79,14.25,8.05,3.08,18.04
WATTSCLIFFE ,16,8.63,3.4,0,0,0,59.43,6.8,8.68,5.7,3.4,15.48
W165.7H ,17.55,233.87,0,3.89,0,0,76.91,0.6,0,1.05,3.89,0.6
W165.7 ,16.87,40.85,0,3.92,0,0,77.58,0.6,0,1.03,3.92,0.6
CZ5 ,28.99,997.49,3.87,0,0,0.06,32.08,9.72,24.14,1.15,3.93,33.86
CZ4 ,13.89,7.94,4.89,0,0,0.23,31.4,8.13,21.63,19.83,5.12,29.76
YORK3 ,10.98,0.11,5.8,0,0,0,68.76,1.64,8.57,4.26,5.8,10.21
RB3 ,12.33,0.06,6.26,0,0,0,63.78,1.48,12.08,4.08,6.26,13.56
W166.0 ,16.03,135.31,0,6.74,0,0,74.17,0.78,0,2.27,6.74,0.78
W166.0H ,15.82,185.32,0,6.76,0,0,74.37,0.79,0,2.26,6.76,0.79
CZ11 ,12.76,0.27,7.39,0,0,0.24,15.78,2.38,9.74,51.71,7.63,12.12
SD3 ,9.19,0.03,4.02,0,3.55,0.08,19.94,10.41,46.07,6.73,7.65,56.48
CZ3 ,24.82,94.58,3.02,4.48,0,0.4,46.51,4.51,13.75,2.51,7.9,18.26
1SU ,10.71,0.1,0,0,7.98,0.24,63.29,1.97,10.05,5.76,8.22,12.02
YORK2 ,10.31,0.98,8.39,0,0,0,62.05,4.7,11.09,3.45,8.39,15.79
W165.6 ,17.2,217.06,0,9.13,0,0,71.68,0,0,1.99,9.13,0
W165.6H ,17.18,248.2,0,9.14,0,0,71.71,0,0,1.97,9.14,0
RB2 ,10.22,0.04,8.99,0,0,0.16,60.66,1.5,11.8,6.66,9.15,13.3
CZ8 ,3.23,0.003,8.3,0.39,0,0.97,42.64,3.05,24.02,17.41,9.66,27.07
CZ12 ,18.12,14.61,5.5,4.49,0,0,46.3,5.57,14.13,5.88,9.99,19.7
CZ10 ,15.85,10.22,8.8,1.57,0,0.67,39.21,4.46,17.85,11.6,11.04,22.31
CZ1 ,14.46,10.41,10.73,0,0,0.39,42.47,4.48,12.81,14.66,11.12,17.29
CX1 ,4.26,0.004,10.71,0.1,0,1.05,45.84,7.07,9.35,21.63,11.86,16.42
SX8 ,12.11,0.37,0,12.63,0,0,75.01,0,0,0.25,12.63,0
RS ,15.61,11.71,7.54,5.14,0,0,40.39,1.67,0,29.65,12.68,1.67
SD2 ,8.42,0.003,12.17,0,0,0.58,26.63,10.91,33.07,8.22,12.75,43.98
1DYK ,12.48,0.27,10.1,2.77,0,0,62.66,0,0,11.99,12.87,0
SX4 ,12.28,0.57,0,13.21,0,0,74.34,0,0,0.17,13.21,0
CZ2 ,16.74,0.37,13.02,0,0,0.74,27.41,8.73,22.57,10.79,13.76,31.3
CX2 ,2.64,0.004,12.92,0,0,0.89,51.85,9.07,6.99,15.65,13.81,16.06
SD4 ,3.14,0.0001,10.53,1.38,0,2.39,19.7,11.28,38.89,12.69,14.3,50.17
SX2 ,10.6,0.03,0,14.5,0,0,73.2,0,0,1.7,14.5,0
SX1 ,11.57,0.65,0,14.64,0,0,73.56,0,0,0.23,14.64,0
SD1 ,1.99,0.0001,14.9,0,0,0,34.62,8.8,29.05,10.63,14.9,37.85
CZ7 ,7.18,0.01,10.93,4.04,0,0,35.23,0,1.68,40.94,14.97,1.68
SX9 ,12.84,0.64,0,15.41,0,0,71.74,0,0,0.02,15.41,0
SX10 ,11.62,0.03,0,15.72,0,0,71.37,0,0,1.28,15.72,0
W160.15 ,12.23,0.04,4.72,11.87,0,0,63.64,1.29,3.89,2.36,16.59,5.18
W160.15H ,12.02,0.12,4.77,11.98,0,0,64.23,1.3,3.93,1.77,16.75,5.23
SX5 ,12.3,0.62,0,17.14,0,0,70.56,0,0,0,17.14,0
?CZ9 ,6.69,0.01,12.49,5.32,0,0,38.04,0,0.51,36.95,17.81,0.51
SX11 ,11.95,0.23,0,18.1,0,0,69.96,0,0,0,18.1,0
SX3 ,11.68,0.71,0,18.14,0,0,70.18,0,0,0,18.14,0
CZ14 ,2.64,0.04,17.3,1.28,0,0,58.18,0,14.39,6.21,18.58,14.39
W160.21H ,12.21,0.1,5.4,13.19,0,0,57.55,2.86,3.61,5.17,18.59,6.47
CX3 ,3.83,0.002,18.92,0,0,1.4,48.72,8.78,9.14,9.21,20.32,17.92
TS ,8.36,0.02,13.34,4.62,0,2.49,58.31,3.21,5.62,4.05,20.45,8.83
CZ6 ,11.02,0.12,11.42,2.79,7.67,0.39,15.12,17.58,28.43,5.57,22.27,46.01
SX7 ,12.37,0.95,0,23.71,0,0,63.93,0,0,0,23.71,0
SX6 ,11.21,0.49,0,25.95,0,0,62.83,0,0,0,25.95,0
W162.0 ,6.91,0.001,8.53,19.1,0,0,46.88,3.59,5.28,9.72,27.63,8.87
